qtrs_frm_peak,Date0,GDPC10,usgdp_dv_pk0,Date1,GDPC11,usgdp_dv_pk1,Date2,GDPC12,usgdp_dv_pk2,Date3,GDPC13,usgdp_dv_pk3,Date4,GDPC14,usgdp_dv_pk4,Date5,GDPC15,usgdp_dv_pk5,Date6,GDPC16,usgdp_dv_pk6,Date7,GDPC17,usgdp_dv_pk7,Date8,GDPC18,usgdp_dv_pk8,Date9,GDPC19,usgdp_dv_pk9,Date10,GDPC110,usgdp_dv_pk10,Date11,GDPC111,usgdp_dv_pk11,Date12,GDPC112,usgdp_dv_pk12,Date13,GDPC113,usgdp_dv_pk13,Date14,GDPC114,usgdp_dv_pk14
8,1931-07-01,950.037,0.8563150323404071,1939-07-01,1222.375,1.04445786879755,1947-01-01,2034.45,0.8560935762691197,1950-10-01,2384.92,1.1163056299264196,1955-04-01,2860.942,1.051598086574632,1959-07-01,3196.683,1.0595642197045456,1962-01-01,3502.298,1.0684751301692847,1971-07-01,5142.422,1.0344117864185354,1975-10-01,5763.665,1.0055888096095493,1982-01-01,6799.233,0.9937458564892494,1983-07-01,7194.504,1.030346107021029,1993-10-01,10097.362,1.071044841725571,2003-04-01,13741.107,1.0330576629787824,2009-10-01,15379.155,0.9753924394433844,2021-10-01,20006.181,1.0411377347814348
9,1931-10-01,920.1515671650275,0.8293778231742519,1939-10-01,1246.2016653207509,1.064816554210344,1947-04-01,2029.024,0.8538103234269087,1951-01-01,2417.311,1.131466832674917,1955-07-01,2899.578,1.0657995431832936,1959-10-01,3205.79,1.0625828022004795,1962-04-01,3533.947,1.0781305533784828,1971-10-01,5154.547,1.0368507622377747,1976-01-01,5893.276,1.0282020897363962,1982-04-01,6830.251,0.998279310332732,1983-10-01,7344.597,1.0518413676034273,1994-01-01,10195.338,1.0814373273483409,2003-07-01,13970.157,1.0502776626269397,2010-01-01,15456.059,0.9802699232949323,2022-01-01,19924.088,1.0368655490973497
10,1932-01-01,886.5498259200507,0.7990909226210247,1940-01-01,1268.939163306472,1.084244600994641,1947-07-01,2024.834,0.8520471775719761,1951-04-01,2459.196,1.1510718765797308,1955-10-01,2916.985,1.072197844125083,1960-01-01,3277.847,1.0864666277093744,1962-07-01,3577.362,1.0913755278998685,1972-01-01,5249.337,1.0559180214464927,1976-04-01,5936.515,1.0357460143986914,1982-07-01,6804.139,0.9944628957747006,1984-01-01,7488.167,1.0724024501443514,1994-04-01,10333.495,1.0960918818941996,2003-10-01,14131.379,1.0623983471206102,2010-04-01,15605.628,0.9897560408205772,2022-04-01,19895.271,1.035365889262062
11,1932-04-01,854.0561717150487,0.7698027953676501,1940-04-01,1295.338579638957,1.1068015725623894,1947-10-01,2056.508,0.8653755503187862,1951-07-01,2509.88,1.174795454119938,1956-01-01,2905.656,1.0680336371181585,1960-04-01,3260.177,1.0806097755403667,1962-10-01,3589.128,1.094965079212056,1972-04-01,5368.485,1.079884956779337,1976-07-01,5969.089,1.041429212482588,1982-10-01,6806.857,0.9948601466466648,1984-04-01,7617.547,1.09093134099303,1994-07-01,10393.898,1.102498933713749,2004-01-01,14212.34,1.0684850023989967,2010-07-01,15726.282,0.997408281752449,2022-07-01,20054.663,1.0436607770181152
12,1932-07-01,827.495,0.745861906101052,1940-07-01,1330.151,1.1365470323255384,1948-01-01,2087.442,0.878392532150883,1951-10-01,2515.408,1.1773829360993053,1956-04-01,2929.666,1.0768590065449617,1960-07-01,3276.133,1.0858985097344065,1963-01-01,3628.306,1.1069174369639583,1972-07-01,5419.184,1.0900831947223983,1976-10-01,6012.356,1.0489780223154592,1983-01-01,6896.561,1.0079708869773036,1984-07-01,7690.985,1.101448613261891,1994-10-01,10512.962,1.115128260367108,2004-04-01,14323.017,1.0768057092361898,2010-10-01,15807.995,1.0025907669022662,,,
13,1932-10-01,810.7563617399012,0.7307745489107206,1940-10-01,1376.8341595188067,1.1764354407924564,1948-04-01,2121.899,0.8928919872161364,1952-01-01,2542.286,1.1899636778940668,1956-07-01,2927.034,1.075891560800216,1960-10-01,3234.087,1.0719620521057656,1963-04-01,3669.02,1.1193383949891498,1972-10-01,5509.926,1.1083361880246188,1977-01-01,6083.391,1.061371525596898,1983-04-01,7053.5,1.0309083978658946,1984-10-01,7754.117,1.1104899329176243,1995-01-01,10550.251,1.1190835697937784,2004-07-01,14457.832,1.0869411130893498,2011-01-01,15769.911,1.0001753646474765,,,
14,1933-01-01,803.9929299598148,0.7246783354964043,1941-01-01,1433.6723911142317,1.2250008468571905,1948-07-01,2134.056,0.8980076349866414,1952-04-01,2547.762,1.192526820317912,1956-10-01,2975.209,1.0935992730924373,1961-01-01,3255.914,1.0791967726656368,1963-07-01,3749.681,1.1439463159811913,1973-01-01,5646.286,1.135765362681236,1977-04-01,6201.659,1.0820057882292513,1983-07-01,7194.504,1.0515169195547984,1985-01-01,7829.26,1.1212513832580344,1995-04-01,10581.723,1.1224218598599152,2004-10-01,14605.595,1.0980499487497324,2011-04-01,15876.839,1.006957061220845,,,
15,1933-04-01,806.4230331998209,0.726868706960417,1941-04-01,1497.6566771525406,1.279672196510206,1948-10-01,2136.44,0.8990108186902593,1952-07-01,2566.153,1.2011350658104134,1957-01-01,2994.259,1.1006014924835494,1961-04-01,3311.181,1.0975154285130921,1963-10-01,3774.264,1.151446055901938,1973-04-01,5707.755,1.1481300146097166,1977-07-01,6313.559,1.101529023496275,1983-10-01,7344.597,1.073453849328795,1985-04-01,7898.194,1.1311236244217597,1995-07-01,10671.738,1.1319699082935484,2005-01-01,14767.846,1.110247993556164,2011-07-01,15870.684,1.0065666925390302,,,
16,1933-07-01,817.265,0.7366411044050735,1941-07-01,1565.778,1.3378784357419697,1949-01-01,2107.001,0.8866229306655911,1952-10-01,2650.431,1.2405829323547584,1957-04-01,2987.699,1.0981902295331194,1961-07-01,3374.742,1.118583191994376,1964-01-01,3853.835,1.1757214415437938,1973-07-01,5677.738,1.1420920156681817,1977-10-01,6313.697,1.1015531004084003,1984-01-01,7488.167,1.0944374062411941,1985-07-01,8018.809,1.1483972538058482,1995-10-01,10744.203,1.1396563975424872,2005-04-01,14839.707,1.1156505100142136,2011-10-01,16048.702,1.0178571315316036,,,
17,1933-10-01,835.3695952503685,0.7529596657530307,1941-10-01,1635.6843216040215,1.3976098665042256,1949-04-01,2099.814,0.8835986516060681,1953-01-01,2699.699,1.263643725075359,1957-07-01,3016.979,1.1089526958728442,1961-10-01,3440.924,1.1405197053078593,1964-04-01,3895.793,1.1885219169778212,1973-10-01,5731.632,1.152932936311653,1978-01-01,6333.848,1.105068852989864,1984-04-01,7617.547,1.1133470154445526,1985-10-01,8078.415,1.1569336046168415,1996-01-01,10824.674,1.1481920972092419,2005-07-01,14956.291,1.1244153056439046,2012-01-01,16179.968,1.026182417540879,,,
