qtrs_frm_peak,Date0,GDPC10,usgdp_dv_pk0,Date1,GDPC11,usgdp_dv_pk1,Date2,GDPC12,usgdp_dv_pk2,Date3,GDPC13,usgdp_dv_pk3,Date4,GDPC14,usgdp_dv_pk4,Date5,GDPC15,usgdp_dv_pk5,Date6,GDPC16,usgdp_dv_pk6,Date7,GDPC17,usgdp_dv_pk7,Date8,GDPC18,usgdp_dv_pk8,Date9,GDPC19,usgdp_dv_pk9,Date10,GDPC110,usgdp_dv_pk10,Date11,GDPC111,usgdp_dv_pk11,Date12,GDPC112,usgdp_dv_pk12,Date13,GDPC113,usgdp_dv_pk13,Date14,GDPC114,usgdp_dv_pk14
2,1930-01-01,1048.2056086407347,0.9447992232540278,1938-01-01,1146.193519763712,0.9793646310518206,1945-07-01,2328.626,0.9799061469693963,1949-04-01,2098.38,0.9828565219081574,1953-10-01,2662.482,0.9793184927110625,1958-01-01,2906.274,0.9639642060035444,1960-07-01,3274.029,0.9994724883439156,1970-01-01,4936.594,0.9936455398815338,1974-04-01,5692.21,0.9937586854656806,1980-07-01,6688.794,0.9782312350121921,1982-01-01,6794.878,0.9737383985835756,1992-04-01,9637.732,1.0229438527463324,2001-10-01,13280.859,0.9985620283452973,2008-04-01,15752.308,0.9993871957732179,2020-04-01,17302.511,0.8986469224329396
3,1930-04-01,1029.4169897754593,0.9278641178094506,1938-04-01,1134.1440024629849,0.9690689254296043,1945-10-01,2268.345113026019,0.9545394235494176,1949-07-01,2120.044,0.9930036848103097,1954-01-01,2649.755,0.9746372267131201,1958-04-01,2925.379,0.9703010263293973,1960-10-01,3232.009,0.9866449190217711,1970-04-01,4943.6,0.9950557187725688,1974-07-01,5638.411,0.9843663363570975,1980-10-01,6813.535,0.9964745151142039,1982-04-01,6825.876,0.9781805597054227,1992-07-01,9732.979,1.0330533196979481,2002-01-01,13397.002,1.0072945952416184,2008-07-01,15667.032,0.9939769573175733,2020-07-01,18596.521,0.9658543990874813
4,1930-07-01,1015.058,0.914921654732804,1938-07-01,1131.564,0.9668644432747978,1946-01-01,2193.94705389442,0.9232320708591846,1949-10-01,2102.251,0.9846696527978469,1954-04-01,2652.643,0.9756994956061866,1958-07-01,2993.068,0.9927523757686361,1961-01-01,3253.826,0.9933050589527855,1970-07-01,4989.159,1.0042259071963002,1974-10-01,5616.526,0.9805456043687456,1981-01-01,6947.042,1.0159998163109178,1982-07-01,6799.781,0.9744410218489611,1992-10-01,9834.51,1.04382976713529,2002-04-01,13478.152,1.0133961063411805,2008-10-01,15328.027,0.9724691721534501,2020-10-01,18780.325,0.9754006955141019
5,1930-10-01,1002.5345727245408,0.9036336743358325,1938-10-01,1143.427949080021,0.9770015901991389,1946-04-01,2119.325717815612,0.8918307612806204,1950-01-01,2184.872,1.0233683578448707,1954-07-01,2682.601,0.9867186962635576,1958-10-01,3063.085,1.0159758852559555,1961-04-01,3309.059,1.010166199751691,1970-10-01,4935.693,0.9934641851597492,1975-01-01,5548.156,0.9686094176635311,1981-04-01,6895.559,1.0084704651794385,1982-10-01,6802.497,0.974830237592136,1993-01-01,9850.973,1.0455771413772552,2002-07-01,13538.072,1.0179013749189472,2009-01-01,15155.94,0.961551308919756,,,
6,1931-01-01,989.2526413592652,0.8916620169302799,1939-01-01,1166.2509343509698,0.996502681562831,1946-07-01,2058.375,0.8661821671956471,1950-04-01,2251.507,1.0545794084350164,1954-10-01,2735.091,1.0060256540880248,1959-01-01,3121.936,1.0354958126569902,1961-07-01,3372.581,1.0295577480258762,1971-01-01,5069.746,1.0204465875120066,1975-04-01,5587.8,0.9755305553809733,1981-07-01,6978.135,1.0205471448413277,1983-01-01,6892.144,0.9876770799074538,1993-04-01,9908.347,1.0516667878425716,2002-10-01,13559.032,1.019477316664441,2009-04-01,15134.117,0.9601667736012898,,,
7,1931-04-01,972.6181393143572,0.8766685228278902,1939-04-01,1194.433202446434,1.0205830101631947,1946-10-01,2024.9887956579935,0.8521329609861877,1950-07-01,2338.514,1.0953324643170126,1955-01-01,2813.212,1.0347602483384577,1959-04-01,3192.38,1.0588609511565652,1961-10-01,3438.721,1.0497485008808651,1971-04-01,5097.179,1.0259683456504254,1975-07-01,5683.444,0.9922282976836431,1981-10-01,6902.105,1.00942781289629,1983-04-01,7048.982,1.0101527127233851,1993-07-01,9955.641,1.0566865483600654,2003-01-01,13634.253,1.0251330377540304,2009-07-01,15189.222,0.9636628474098442,,,
8,1931-07-01,950.037,0.8563150323404071,1939-07-01,1222.375,1.04445786879755,1947-01-01,2033.061,0.855529815034165,1950-10-01,2383.291,1.1163054846858123,1955-04-01,2858.988,1.0515976516795287,1959-07-01,3194.653,1.059614868591826,1962-01-01,3500.054,1.0684718066694203,1971-07-01,5139.128,1.0344119074974176,1975-10-01,5759.972,1.0055887261782555,1982-01-01,6794.878,0.9937459424968348,1983-07-01,7189.896,1.0303463604530436,1993-10-01,10091.049,1.0710586829258197,2003-04-01,13751.543,1.0339518453556034,2009-10-01,15356.058,0.9742475669438974,,,
9,1931-10-01,920.151567166194,0.8293778231753033,1939-10-01,1246.2017077473324,1.064816590461721,1947-04-01,2027.639,0.8532481901064746,1951-01-01,2415.66,1.1314667437321455,1955-07-01,2897.598,1.0657992451564327,1959-10-01,3203.759,1.062635181907043,1962-04-01,3531.683,1.0781272847772285,1971-10-01,5151.245,1.0368508366470994,1976-01-01,5889.5,1.0282020125838867,1982-04-01,6825.876,0.9982793773466611,1983-10-01,7339.893,1.051841645367996,1994-01-01,10188.954,1.0814502686124863,2003-07-01,13985.073,1.0515105130953541,2010-01-01,15415.145,0.9779962741959808,,,
10,1932-01-01,886.5498259222043,0.7990909226229658,1940-01-01,1268.9392428324074,1.0842446689455472,1947-07-01,2023.452,0.8514862639588834,1951-04-01,2457.517,1.1510720704306032,1955-10-01,2914.993,1.0721975025646364,1960-01-01,3275.757,1.0865157571397441,1962-07-01,3575.07,1.0913721622208241,1972-01-01,5245.974,1.0559180413529023,1976-04-01,5932.711,1.035745885096963,1982-07-01,6799.781,0.9944630026642229,1984-01-01,7483.371,1.0724027265164688,1994-04-01,10327.019,1.0961044157738125,2003-10-01,14145.645,1.0635836103261478,2010-04-01,15557.277,0.9870136766559655,,,
11,1932-04-01,854.0561717171126,0.7698027953695104,1940-04-01,1295.3386565012784,1.1068016382373715,1947-10-01,2055.103,0.8648052810349309,1951-07-01,2508.166,1.1747954665638711,1956-01-01,2903.671,1.0680330259693112,1960-04-01,3258.088,1.0806552348504224,1962-10-01,3586.827,1.0949612562836621,1972-04-01,5365.045,1.079884842770891,1976-07-01,5965.265,1.0414292348410255,1982-10-01,6802.497,0.9948602156796476,1984-04-01,7612.668,1.0909316027849847,1994-07-01,10387.382,1.1025113131417126,2004-01-01,14221.147,1.069260459260703,2010-07-01,15671.967,0.9942900527580092,,,
